dsld_id,name_en,name_ja,brand,serving_size,category,upc
DSLD_733739062956,Organic Steel Cut Oats,Organic Steel Cut Oats,NOW Foods,1 serving,supplements,733739062956
DSLD_733739037718,Daily Vits,Daily Vits,NOW Foods,1 serving,vitamins,733739037718
DSLD_733739063236,Organic Triple Omega Seed Mix,Organic Triple Omega Seed Mix,NOW Foods,1 serving,fatty_acids,733739063236
DSLD_733739069658,Organic Sucanat Cane Sugar,Organic Sucanat Cane Sugar,NOW Foods,1 serving,supplements,733739069658
DSLD_733739072504,Mung beans,Mung beans,NOW Foods,1 serving,supplements,733739072504
DSLD_733739860064,Almond Flour,Almond Flour,NOW Foods,1 serving,supplements,733739860064
DSLD_733739063069,Organic popcorn,Organic popcorn,NOW Foods,1 serving,supplements,733739063069
DSLD_733739062819,Organic Hemp Seed Hearts,Organic Hemp Seed Hearts,NOW Foods,1 serving,supplements,733739062819
DSLD_733739071163,Organic Monk Fruit Liquid Sweetener,Organic Monk Fruit Liquid Sweetener,NOW Foods,1 serving,supplements,733739071163
DSLD_733739062680,Organic Golden flax seeds,Organic Golden flax seeds,NOW Foods,1 serving,supplements,733739062680
DSLD_733739017352,Organic Virgin Coconut Oil,Organic Virgin Coconut Oil,NOW Foods,1 serving,supplements,733739017352
DSLD_733739069474,Organic Maple Syrup Grade A Medium Amber,Organic Maple Syrup Grade A Medium Amber,NOW Foods,1 serving,supplements,733739069474
DSLD_733739056955,Organic Crystallized Ginger Slices,Organic Crystallized Ginger Slices,NOW Foods,1 serving,supplements,733739056955
DSLD_811892024803,Guacamole Now Squeeze Fiesta,Guacamole Now Squeeze Fiesta,Cabo Fresh,1 serving,supplements,811892024803
DSLD_733739069153,Organic Coconut Sugar,Organic Coconut Sugar,NOW Foods,1 serving,supplements,733739069153
DSLD_733739067593,Whole Wheat Sesame Sticks,Whole Wheat Sesame Sticks,NOW Foods,1 serving,supplements,733739067593
DSLD_733739068910,Red dragon fruit chips,Red dragon fruit chips,NOW Foods,1 serving,supplements,733739068910
DSLD_733739066695,Carob Powder,Carob Powder,NOW Foods,1 serving,supplements,733739066695
DSLD_733739072719,zesty sprouting mix,zesty sprouting mix,NOW Foods,1 serving,supplements,733739072719
DSLD_733739061027,Organic Sprouted Brown Rice Raw,Organic Sprouted Brown Rice Raw,NOW Foods,1 serving,supplements,733739061027
DSLD_733739063038,Organic Rolled Oats,Organic Rolled Oats,NOW Foods,1 serving,supplements,733739063038
DSLD_733739070050,Raw Almonds Unsalted,Raw Almonds Unsalted,NOW Foods,1 serving,supplements,733739070050
DSLD_733739069443,Organic Maple Syrup Grade A Dark,Organic Maple Syrup Grade A Dark,NOW Foods,1 serving,supplements,733739069443
DSLD_733739869210,Organic Erythritol,Organic Erythritol,NOW Foods,1 serving,supplements,733739869210
DSLD_733739062604,Organic Flax Seeds,Organic Flax Seeds,NOW Foods,1 serving,supplements,733739062604
DSLD_733739056207,Certified Organic Unsweetened Apricots,Certified Organic Unsweetened Apricots,NOW Foods,1 serving,supplements,733739056207
DSLD_733739070012,Raw Pecans Unsalted,Raw Pecans Unsalted,NOW Foods,1 serving,supplements,733739070012
DSLD_733739069511,Organic Maple Syrup Grade A Dark,Organic Maple Syrup Grade A Dark,NOW Foods,1 serving,supplements,733739069511
DSLD_733739069481,Organic Maple Syrup Grade A Dark,Organic Maple Syrup Grade A Dark,NOW Foods,1 serving,supplements,733739069481
DSLD_733739070005,Marcona Almonds Blanched,Marcona Almonds Blanched,NOW Foods,1 serving,supplements,733739070005
DSLD_733739062741,Organic Golden Flax Seed Meal,Organic Golden Flax Seed Meal,NOW Foods,1 serving,supplements,733739062741
DSLD_733739067173,Cajun sesame sticks,Cajun sesame sticks,NOW Foods,1 serving,supplements,733739067173
DSLD_733739070210,Roasted Pistachios With Sea Salt,Roasted Pistachios With Sea Salt,NOW Foods,1 serving,supplements,733739070210
DSLD_733739071408,Manuka honey,Manuka honey,NOW Foods,1 serving,supplements,733739071408
DSLD_733739058324,Organic Non-Fat Dry Milk Powder,Organic Non-Fat Dry Milk Powder,NOW Foods,1 serving,supplements,733739058324
DSLD_733739030719,Foods Quercetin With Bromelain Now Foods,Foods Quercetin With Bromelain Now Foods,NOW Foods,1 serving,supplements,733739030719
